acquisition_id,customer_id,acquisition_timestamp,channel,platform,touch_type
135,135,2026-03-15,search,mobile,first_touch
136,136,2026-03-16,paid_social,mobile,first_touch
137,137,2026-02-27,paid_social,mobile,first_touch
138,138,2026-01-15,paid_social,mobile,first_touch
139,139,2025-12-30,search,mobile,first_touch
140,140,2026-01-20,search,web,first_touch
141,141,2026-01-18,paid_social,web,first_touch
142,142,2026-03-21,paid_social,mobile,first_touch
143,143,2025-12-29,search,web,first_touch
144,144,2026-02-11,referral,mobile,first_touch
145,145,2026-03-24,paid_social,mobile,first_touch
146,146,2026-01-18,search,mobile,first_touch
147,147,2026-02-13,search,mobile,first_touch
148,148,2026-01-06,search,web,first_touch
149,149,2026-02-03,paid_social,mobile,first_touch
150,150,2026-03-21,referral,mobile,first_touch
151,151,2026-02-23,search,mobile,first_touch
152,152,2026-02-12,search,web,first_touch
153,153,2026-03-25,referral,mobile,first_touch
154,154,2026-03-15,referral,web,first_touch
155,155,2026-01-19,search,mobile,first_touch
156,156,2026-02-18,referral,web,first_touch
157,157,2026-02-18,paid_social,mobile,first_touch
158,158,2026-01-31,referral,mobile,first_touch
159,159,2026-01-07,paid_social,mobile,first_touch
160,160,2026-03-11,referral,web,first_touch
161,161,2026-01-10,search,web,first_touch
162,162,2026-01-27,paid_social,web,first_touch
163,163,2026-01-19,search,mobile,first_touch
164,164,2026-03-01,referral,mobile,first_touch
165,165,2026-01-02,search,mobile,first_touch
166,166,2026-01-31,referral,mobile,first_touch
167,167,2026-03-11,paid_social,mobile,first_touch
168,168,2026-03-16,paid_social,web,first_touch
169,169,2026-01-10,search,web,first_touch
170,170,2026-02-07,search,mobile,first_touch
171,171,2026-02-07,search,mobile,first_touch
172,172,2026-01-22,referral,mobile,first_touch
173,173,2026-03-05,search,mobile,first_touch
174,174,2026-03-02,search,mobile,first_touch
175,175,2026-01-03,search,mobile,first_touch
176,176,2026-03-13,referral,mobile,first_touch
177,177,2026-01-25,search,web,first_touch
178,178,2026-03-09,referral,mobile,first_touch
179,179,2026-03-02,paid_social,web,first_touch
180,180,2026-02-05,search,web,first_touch
181,181,2026-02-21,paid_social,mobile,first_touch
182,182,2026-01-30,search,mobile,first_touch
183,183,2026-03-06,referral,web,first_touch
184,184,2026-01-04,referral,mobile,first_touch
185,185,2026-02-16,paid_social,mobile,first_touch
186,186,2025-12-29,referral,mobile,first_touch
187,187,2026-02-28,paid_social,web,first_touch
188,188,2026-03-17,search,mobile,first_touch
189,189,2026-03-04,search,mobile,first_touch
190,190,2026-02-25,search,web,first_touch
191,191,2026-03-11,paid_social,mobile,first_touch
192,192,2026-02-11,search,web,first_touch
193,193,2026-02-18,search,mobile,first_touch
194,194,2026-02-15,search,web,first_touch
195,195,2026-02-05,search,mobile,first_touch
196,196,2025-12-28,search,mobile,first_touch
197,197,2026-01-02,search,mobile,first_touch
198,198,2026-01-31,paid_social,mobile,first_touch
199,199,2026-01-17,search,mobile,first_touch
200,200,2026-03-14,search,mobile,first_touch
201,201,2026-03-26,paid_social,mobile,first_touch
202,202,2026-02-01,paid_social,mobile,first_touch
203,203,2026-02-23,referral,mobile,first_touch
204,204,2026-02-14,referral,mobile,first_touch
205,205,2026-01-14,search,web,first_touch
206,206,2026-01-27,referral,mobile,first_touch
207,207,2026-01-27,referral,web,first_touch
208,208,2026-01-01,search,mobile,first_touch
209,209,2025-12-27,paid_social,mobile,first_touch
210,210,2026-01-23,search,mobile,first_touch
211,211,2026-03-19,referral,mobile,first_touch
212,212,2026-01-02,search,web,first_touch
213,213,2026-02-11,paid_social,mobile,first_touch
214,214,2026-02-15,referral,web,first_touch
215,215,2026-02-22,referral,web,first_touch
216,216,2026-03-22,search,mobile,first_touch
217,217,2026-01-31,referral,web,first_touch
218,218,2026-01-27,search,mobile,first_touch
219,219,2026-02-09,referral,web,first_touch
220,220,2026-03-15,referral,mobile,first_touch
221,221,2026-02-15,paid_social,mobile,first_touch
222,222,2025-12-26,referral,mobile,first_touch
223,223,2026-02-03,search,web,first_touch
224,224,2026-02-08,referral,mobile,first_touch
225,225,2026-03-11,referral,mobile,first_touch
226,226,2026-02-24,referral,web,first_touch
227,227,2026-02-24,referral,mobile,first_touch
228,228,2026-01-22,referral,web,first_touch
229,229,2026-02-25,paid_social,mobile,first_touch
230,230,2026-01-03,search,web,first_touch
231,231,2026-01-13,paid_social,mobile,first_touch
232,232,2026-01-13,referral,web,first_touch
233,233,2026-02-03,search,web,first_touch
234,234,2025-12-31,search,mobile,first_touch
235,235,2026-02-10,paid_social,web,first_touch
236,236,2026-03-11,search,web,first_touch
237,237,2026-01-28,search,web,first_touch
238,238,2025-12-26,referral,web,first_touch
239,239,2026-01-20,referral,web,first_touch
240,240,2026-01-03,search,mobile,first_touch
241,241,2026-02-18,referral,web,first_touch
242,242,2026-03-05,paid_social,web,first_touch
243,243,2026-01-22,paid_social,mobile,first_touch
244,244,2026-01-21,search,mobile,first_touch
245,245,2026-01-24,search,mobile,first_touch
246,246,2026-01-24,paid_social,web,first_touch
247,247,2026-02-22,paid_social,web,first_touch
248,248,2026-01-19,search,web,first_touch
249,249,2026-01-30,paid_social,mobile,first_touch
250,250,2026-03-15,search,mobile,first_touch
251,251,2026-02-28,search,mobile,first_touch
252,252,2026-03-16,referral,web,first_touch
253,253,2026-01-26,paid_social,web,first_touch
254,254,2026-03-15,paid_social,web,first_touch
255,255,2026-01-23,paid_social,mobile,first_touch
256,256,2026-01-18,paid_social,web,first_touch
257,257,2026-03-17,referral,web,first_touch
258,258,2026-01-11,search,web,first_touch
259,259,2026-03-05,paid_social,web,first_touch
260,260,2026-03-06,referral,mobile,first_touch
261,261,2026-03-17,referral,web,first_touch
262,262,2026-03-13,paid_social,mobile,first_touch
263,263,2026-03-10,paid_social,web,first_touch
264,264,2026-01-27,referral,web,first_touch
265,265,2026-02-14,search,web,first_touch
266,266,2026-02-17,referral,mobile,first_touch
267,267,2026-01-20,paid_social,web,first_touch
268,268,2026-01-28,referral,mobile,first_touch
269,269,2026-03-11,paid_social,web,first_touch
270,270,2025-12-24,paid_social,web,first_touch
271,271,2025-12-28,referral,mobile,first_touch
272,272,2026-01-27,search,web,first_touch
273,273,2026-03-01,paid_social,web,first_touch
274,274,2026-03-14,paid_social,web,first_touch
275,275,2026-02-25,referral,mobile,first_touch
276,276,2026-03-15,paid_social,web,first_touch
277,277,2026-01-10,paid_social,web,first_touch
278,278,2026-01-01,paid_social,web,first_touch
279,279,2026-02-08,paid_social,mobile,first_touch
280,280,2026-01-23,referral,web,first_touch
281,281,2026-03-15,paid_social,mobile,first_touch
282,282,2025-12-30,search,web,first_touch
283,283,2026-01-25,search,mobile,first_touch
284,284,2026-01-17,paid_social,mobile,first_touch
285,285,2026-02-19,search,mobile,first_touch
286,286,2026-01-19,paid_social,web,first_touch
287,287,2026-03-16,referral,mobile,first_touch
288,288,2025-12-29,referral,web,first_touch
289,289,2025-12-31,referral,mobile,first_touch
290,290,2026-03-16,search,mobile,first_touch
291,291,2026-02-12,referral,mobile,first_touch
292,292,2026-03-13,search,mobile,first_touch
293,293,2026-02-03,search,mobile,first_touch
294,294,2026-03-16,paid_social,web,first_touch
295,295,2026-02-02,paid_social,mobile,first_touch
296,296,2026-03-04,paid_social,web,first_touch
297,297,2026-03-22,paid_social,mobile,first_touch
298,298,2026-02-28,referral,mobile,first_touch
299,299,2026-01-14,referral,mobile,first_touch
300,300,2026-03-05,paid_social,mobile,first_touch
301,301,2026-01-31,referral,mobile,first_touch
302,302,2026-02-26,search,web,first_touch
303,303,2026-02-24,search,web,first_touch
304,304,2026-01-09,referral,mobile,first_touch
305,305,2026-01-17,search,web,first_touch
306,306,2026-01-10,search,mobile,first_touch
307,307,2026-01-03,paid_social,web,first_touch
308,308,2026-02-08,paid_social,mobile,first_touch
309,309,2026-01-13,referral,mobile,first_touch
310,310,2026-02-28,paid_social,web,first_touch
311,311,2026-01-15,paid_social,mobile,first_touch
312,312,2025-12-26,paid_social,mobile,first_touch
313,313,2026-01-10,search,web,first_touch
314,314,2026-02-12,search,web,first_touch
315,315,2026-01-05,referral,web,first_touch
316,316,2026-03-13,search,web,first_touch
317,317,2026-03-02,referral,mobile,first_touch
318,318,2026-01-08,search,web,first_touch
319,319,2026-03-13,search,web,first_touch
320,320,2026-01-19,paid_social,mobile,first_touch
321,321,2026-03-12,paid_social,mobile,first_touch
322,322,2026-03-24,referral,web,first_touch
323,323,2026-01-15,referral,web,first_touch
324,324,2026-01-22,search,mobile,first_touch
325,325,2026-01-05,referral,web,first_touch
326,326,2025-12-30,referral,mobile,first_touch
327,327,2026-02-10,paid_social,mobile,first_touch
328,328,2026-02-24,search,web,first_touch
329,329,2026-02-13,referral,mobile,first_touch
330,330,2026-03-26,referral,mobile,first_touch
331,331,2026-01-04,paid_social,web,first_touch
332,332,2026-01-14,paid_social,mobile,first_touch
333,333,2026-03-15,search,web,first_touch
334,334,2026-01-12,paid_social,web,first_touch
335,335,2026-01-23,paid_social,web,first_touch
336,336,2026-01-29,search,web,first_touch
337,337,2026-01-10,search,web,first_touch
338,338,2026-02-10,paid_social,web,first_touch
339,339,2026-03-09,search,web,first_touch
340,340,2026-03-09,paid_social,mobile,first_touch
341,341,2026-02-03,search,web,first_touch
342,342,2026-03-22,referral,mobile,first_touch
343,343,2026-01-24,referral,mobile,first_touch
344,344,2026-03-08,paid_social,mobile,first_touch
345,345,2026-03-12,referral,mobile,first_touch
346,346,2026-01-20,referral,mobile,first_touch
347,347,2025-12-27,search,mobile,first_touch
348,348,2026-03-06,referral,mobile,first_touch
349,349,2026-01-04,paid_social,web,first_touch
350,350,2026-02-19,paid_social,web,first_touch
351,351,2026-02-05,referral,web,first_touch
352,352,2026-02-06,search,mobile,first_touch
353,353,2026-02-27,paid_social,mobile,first_touch
354,354,2026-02-21,paid_social,mobile,first_touch
355,355,2026-02-16,paid_social,web,first_touch
356,356,2026-02-05,paid_social,mobile,first_touch
357,357,2026-02-28,paid_social,mobile,first_touch
358,358,2026-02-16,referral,mobile,first_touch
359,359,2026-02-12,paid_social,web,first_touch
360,360,2026-02-27,referral,mobile,first_touch
361,361,2026-01-02,paid_social,mobile,first_touch
362,362,2025-12-28,paid_social,mobile,first_touch
363,363,2025-12-30,referral,mobile,first_touch
364,364,2026-02-18,paid_social,web,first_touch
365,365,2026-03-02,paid_social,mobile,first_touch
366,366,2026-01-05,referral,mobile,first_touch
367,367,2025-12-27,paid_social,mobile,first_touch
368,368,2026-01-23,paid_social,mobile,first_touch
369,369,2026-03-08,referral,mobile,first_touch
370,370,2026-02-02,search,web,first_touch
371,371,2026-02-23,search,web,first_touch
372,372,2026-03-25,paid_social,mobile,first_touch
373,373,2026-02-07,paid_social,web,first_touch
374,374,2026-01-20,search,web,first_touch
375,375,2025-12-29,search,web,first_touch
376,376,2026-03-07,paid_social,mobile,first_touch
377,377,2026-03-04,referral,web,first_touch
378,378,2026-01-22,referral,web,first_touch
379,379,2026-02-16,search,mobile,first_touch
380,380,2026-01-11,search,mobile,first_touch
381,381,2026-02-24,search,mobile,first_touch
382,382,2026-02-03,search,mobile,first_touch
383,383,2026-01-11,paid_social,mobile,first_touch
384,384,2026-01-05,referral,web,first_touch
385,385,2025-12-26,search,mobile,first_touch
386,386,2026-03-11,referral,mobile,first_touch
387,387,2025-12-30,referral,mobile,first_touch
388,388,2026-02-06,paid_social,web,first_touch
389,389,2026-01-02,search,mobile,first_touch
390,390,2026-02-24,search,web,first_touch
391,391,2026-01-30,search,mobile,first_touch
392,392,2026-03-08,referral,mobile,first_touch
393,393,2025-12-30,paid_social,mobile,first_touch
394,394,2026-02-02,search,mobile,first_touch
395,395,2026-01-31,referral,mobile,first_touch
396,396,2026-01-31,referral,mobile,first_touch
397,397,2026-01-17,paid_social,mobile,first_touch
398,398,2026-01-14,referral,mobile,first_touch
399,399,2026-03-18,paid_social,web,first_touch
400,400,2026-02-28,search,web,first_touch
401,401,2026-02-04,paid_social,mobile,first_touch
402,402,2026-03-08,search,mobile,first_touch
403,403,2026-01-03,paid_social,mobile,first_touch
404,404,2026-02-17,paid_social,mobile,first_touch
405,405,2026-02-23,paid_social,mobile,first_touch
406,406,2025-12-30,referral,web,first_touch
407,407,2026-02-23,search,mobile,first_touch
408,408,2026-02-25,search,web,first_touch
409,409,2026-02-11,search,mobile,first_touch
410,410,2026-02-24,search,mobile,first_touch
411,411,2026-03-21,paid_social,mobile,first_touch
412,412,2026-01-22,paid_social,mobile,first_touch
413,413,2026-01-16,search,web,first_touch
414,414,2026-01-28,referral,web,first_touch
415,415,2026-03-23,paid_social,mobile,first_touch
416,416,2026-02-10,search,mobile,first_touch
417,417,2026-03-21,referral,mobile,first_touch
418,418,2026-03-07,referral,mobile,first_touch
419,419,2026-01-04,paid_social,web,first_touch
420,420,2026-02-25,referral,mobile,first_touch
421,421,2026-03-11,search,mobile,first_touch
422,422,2026-02-10,search,web,first_touch
423,423,2026-01-20,referral,mobile,first_touch
424,424,2026-03-06,paid_social,mobile,first_touch
425,425,2026-01-01,referral,mobile,first_touch
426,426,2026-03-13,search,web,first_touch
427,427,2026-01-02,referral,web,first_touch
428,428,2025-12-30,referral,web,first_touch
429,429,2026-02-09,search,mobile,first_touch
430,430,2025-12-29,paid_social,web,first_touch
431,431,2026-02-28,paid_social,mobile,first_touch
432,432,2026-02-03,referral,mobile,first_touch
433,433,2026-02-28,search,mobile,first_touch
434,434,2026-03-04,referral,mobile,first_touch
435,435,2026-03-09,search,mobile,first_touch
436,436,2026-01-04,search,web,first_touch
437,437,2026-03-09,referral,mobile,first_touch
438,438,2026-03-15,referral,web,first_touch
439,439,2026-02-08,search,mobile,first_touch
440,440,2026-01-09,paid_social,mobile,first_touch
441,441,2026-02-28,referral,web,first_touch
442,442,2026-02-23,referral,mobile,first_touch
443,443,2026-01-08,search,mobile,first_touch
444,444,2026-03-08,search,mobile,first_touch
445,445,2026-02-25,paid_social,web,first_touch
446,446,2025-12-26,search,mobile,first_touch
447,447,2026-02-15,paid_social,web,first_touch
448,448,2026-03-10,paid_social,mobile,first_touch
449,449,2026-03-17,referral,mobile,first_touch
450,450,2026-03-12,search,web,first_touch
451,451,2026-03-15,referral,mobile,first_touch
452,452,2026-01-04,search,mobile,first_touch
453,453,2025-12-29,paid_social,mobile,first_touch
454,454,2026-01-10,search,mobile,first_touch
455,455,2026-03-15,paid_social,mobile,first_touch
456,456,2026-03-09,search,mobile,first_touch
457,457,2025-12-29,referral,mobile,first_touch
458,458,2026-03-18,referral,mobile,first_touch
459,459,2026-01-10,referral,web,first_touch
460,460,2026-02-06,referral,web,first_touch
461,461,2026-02-18,referral,mobile,first_touch
462,462,2026-01-03,search,mobile,first_touch
463,463,2026-01-30,search,mobile,first_touch
464,464,2026-01-20,search,web,first_touch
465,465,2026-01-26,paid_social,mobile,first_touch
466,466,2026-01-22,search,web,first_touch
467,467,2026-02-02,search,mobile,first_touch
468,468,2026-02-17,paid_social,mobile,first_touch
469,469,2026-01-07,referral,mobile,first_touch
470,470,2026-02-28,paid_social,web,first_touch
471,471,2026-01-04,search,mobile,first_touch
472,472,2026-02-14,referral,mobile,first_touch
473,473,2026-01-11,paid_social,mobile,first_touch
474,474,2026-03-15,referral,mobile,first_touch
475,475,2026-01-24,referral,mobile,first_touch
476,476,2025-12-25,search,mobile,first_touch
477,477,2026-01-03,referral,web,first_touch
478,478,2026-01-28,search,web,first_touch
479,479,2026-03-21,search,mobile,first_touch
480,480,2026-01-17,search,mobile,first_touch
481,481,2026-02-10,search,mobile,first_touch
482,482,2026-02-27,paid_social,mobile,first_touch
483,483,2026-01-14,paid_social,mobile,first_touch
484,484,2026-02-21,search,web,first_touch
485,485,2026-01-31,referral,mobile,first_touch
486,486,2026-03-13,referral,mobile,first_touch
487,487,2026-02-23,referral,web,first_touch
488,488,2026-01-21,paid_social,web,first_touch
489,489,2026-02-01,search,mobile,first_touch
490,490,2026-03-11,search,mobile,first_touch
491,491,2026-01-29,paid_social,mobile,first_touch
492,492,2026-02-09,search,mobile,first_touch
493,493,2026-03-15,search,web,first_touch
494,494,2026-01-09,referral,web,first_touch
495,495,2026-03-13,paid_social,mobile,first_touch
496,496,2026-03-12,referral,mobile,first_touch
497,497,2026-02-09,referral,web,first_touch
498,498,2026-01-18,search,mobile,first_touch
499,499,2026-01-08,paid_social,web,first_touch
500,500,2026-03-06,paid_social,web,first_touch
501,501,2026-01-30,referral,mobile,first_touch
502,502,2026-02-09,paid_social,web,first_touch
503,503,2026-01-03,paid_social,mobile,first_touch
504,504,2026-02-11,referral,mobile,first_touch
505,505,2025-12-31,referral,mobile,first_touch
506,506,2026-02-14,search,web,first_touch
507,507,2026-03-12,paid_social,mobile,first_touch
508,508,2026-03-20,search,mobile,first_touch
509,509,2026-03-14,referral,mobile,first_touch
510,510,2026-02-16,paid_social,web,first_touch
511,511,2026-03-03,paid_social,web,first_touch
512,512,2025-12-29,paid_social,mobile,first_touch
513,513,2026-02-26,search,mobile,first_touch
514,514,2026-03-20,paid_social,mobile,first_touch
515,515,2026-01-05,referral,web,first_touch
516,516,2026-01-17,paid_social,mobile,first_touch
517,517,2026-03-22,paid_social,web,first_touch
518,518,2026-02-05,referral,web,first_touch
519,519,2026-03-03,referral,web,first_touch
520,520,2026-03-12,search,mobile,first_touch
521,521,2026-03-19,referral,web,first_touch
522,522,2026-01-03,paid_social,mobile,first_touch
523,523,2026-01-29,search,web,first_touch
524,524,2026-01-13,paid_social,mobile,first_touch
525,525,2026-03-10,search,web,first_touch
526,526,2026-03-14,referral,mobile,first_touch
527,527,2026-03-11,referral,web,first_touch
528,528,2026-01-06,paid_social,mobile,first_touch
529,529,2026-02-21,search,web,first_touch
530,530,2026-02-06,referral,mobile,first_touch
531,531,2026-03-02,search,mobile,first_touch
532,532,2026-01-13,paid_social,mobile,first_touch
533,533,2026-01-04,search,web,first_touch
534,534,2026-01-22,paid_social,web,first_touch
535,535,2026-01-25,search,web,first_touch
536,536,2026-03-07,search,mobile,first_touch
537,537,2026-01-13,search,web,first_touch
538,538,2026-03-24,search,mobile,first_touch
539,539,2025-12-28,search,mobile,first_touch
540,540,2026-02-15,paid_social,web,first_touch
541,541,2026-02-09,paid_social,mobile,first_touch
542,542,2026-01-23,search,mobile,first_touch
543,543,2026-01-07,referral,web,first_touch
544,544,2025-12-29,referral,mobile,first_touch
545,545,2026-01-16,paid_social,web,first_touch
546,546,2026-02-02,search,mobile,first_touch
547,547,2026-01-12,search,web,first_touch
548,548,2026-03-06,search,mobile,first_touch
549,549,2026-03-25,search,web,first_touch
550,550,2026-03-05,referral,web,first_touch
551,551,2026-03-11,paid_social,web,first_touch
552,552,2026-01-27,search,mobile,first_touch
553,553,2026-03-11,search,web,first_touch
554,554,2026-01-08,search,mobile,first_touch
555,555,2026-02-15,paid_social,mobile,first_touch
556,556,2026-02-08,search,mobile,first_touch
557,557,2026-02-06,paid_social,mobile,first_touch
558,558,2026-03-06,search,web,first_touch
559,559,2026-01-27,search,mobile,first_touch
560,560,2026-02-13,paid_social,web,first_touch
561,561,2026-02-04,referral,web,first_touch
562,562,2026-02-08,referral,mobile,first_touch
563,563,2026-01-21,search,mobile,first_touch
564,564,2026-02-26,referral,mobile,first_touch
565,565,2026-02-19,referral,mobile,first_touch
566,566,2026-01-06,paid_social,mobile,first_touch
567,567,2026-02-01,search,web,first_touch
568,568,2026-02-16,search,web,first_touch
569,569,2026-01-01,search,mobile,first_touch
570,570,2025-12-30,referral,mobile,first_touch
571,571,2026-02-08,search,web,first_touch
572,572,2026-01-05,paid_social,web,first_touch
573,573,2026-02-11,search,web,first_touch
574,574,2025-12-26,referral,web,first_touch
575,575,2026-03-12,search,mobile,first_touch
576,576,2026-02-16,paid_social,web,first_touch
577,577,2026-02-20,paid_social,mobile,first_touch
578,578,2026-03-22,search,mobile,first_touch
579,579,2026-02-19,paid_social,web,first_touch
580,580,2026-01-08,search,mobile,first_touch
581,581,2026-03-16,paid_social,web,first_touch
582,582,2026-02-04,search,web,first_touch
583,583,2026-02-22,paid_social,web,first_touch
584,584,2026-03-12,paid_social,mobile,first_touch
585,585,2026-02-03,search,mobile,first_touch
586,586,2026-03-10,paid_social,web,first_touch
587,587,2026-03-18,paid_social,mobile,first_touch
588,588,2026-02-04,search,mobile,first_touch
589,589,2025-12-24,paid_social,mobile,first_touch
590,590,2026-03-01,paid_social,web,first_touch
591,591,2026-03-04,search,web,first_touch
592,592,2025-12-29,search,web,first_touch
593,593,2026-03-22,search,web,first_touch
594,594,2026-02-28,referral,web,first_touch
595,595,2026-01-13,search,mobile,first_touch
596,596,2026-02-25,search,mobile,first_touch
597,597,2026-02-26,referral,mobile,first_touch
598,598,2026-02-15,search,web,first_touch
599,599,2026-02-12,referral,mobile,first_touch
600,600,2026-01-07,search,web,first_touch
601,601,2026-03-19,search,web,first_touch
602,602,2026-01-17,referral,mobile,first_touch
603,603,2026-01-22,paid_social,mobile,first_touch
604,604,2026-01-07,referral,mobile,first_touch
605,605,2026-01-11,search,mobile,first_touch
606,606,2025-12-31,search,mobile,first_touch
607,607,2026-03-11,search,web,first_touch
608,608,2026-03-12,paid_social,mobile,first_touch
609,609,2025-12-30,paid_social,web,first_touch
610,610,2026-01-07,referral,mobile,first_touch
611,611,2026-02-02,search,web,first_touch
612,612,2026-01-10,referral,web,first_touch
613,613,2026-01-13,paid_social,web,first_touch
614,614,2026-02-27,paid_social,mobile,first_touch
615,615,2026-03-14,paid_social,web,first_touch
616,616,2026-01-20,paid_social,web,first_touch
617,617,2026-02-11,search,web,first_touch
618,618,2026-02-02,referral,mobile,first_touch
