customer_id,signup_date,experiment_variant
311,2026-01-22,control
312,2026-01-03,control
313,2026-01-14,control
314,2026-02-19,control
315,2026-01-12,control
316,2026-03-21,control
317,2026-03-09,control
318,2026-01-12,treatment
319,2026-03-19,control
320,2026-01-29,treatment
321,2026-03-22,treatment
322,2026-03-30,control
323,2026-01-23,control
324,2026-01-30,treatment
325,2026-01-13,treatment
326,2026-01-03,treatment
327,2026-02-16,treatment
328,2026-03-03,treatment
329,2026-02-19,treatment
330,2026-03-30,control
331,2026-01-11,treatment
332,2026-01-21,control
333,2026-03-22,treatment
334,2026-01-20,treatment
335,2026-02-02,control
336,2026-02-08,treatment
337,2026-01-20,control
338,2026-02-18,treatment
339,2026-03-13,control
340,2026-03-15,treatment
341,2026-02-11,control
342,2026-03-31,treatment
343,2026-01-29,treatment
344,2026-03-15,treatment
345,2026-03-21,treatment
346,2026-01-27,treatment
347,2026-01-05,treatment
348,2026-03-12,control
349,2026-01-08,treatment
350,2026-02-26,control
351,2026-02-14,treatment
352,2026-02-14,control
353,2026-03-08,treatment
354,2026-02-27,treatment
355,2026-02-24,control
356,2026-02-09,treatment
357,2026-03-04,treatment
358,2026-02-26,treatment
359,2026-02-22,control
360,2026-03-08,treatment
361,2026-01-11,treatment
362,2026-01-02,control
363,2026-01-04,control
364,2026-02-25,control
365,2026-03-09,treatment
366,2026-01-14,control
367,2026-01-06,treatment
368,2026-01-31,treatment
369,2026-03-13,control
370,2026-02-09,treatment
371,2026-03-02,treatment
372,2026-03-29,control
373,2026-02-16,control
374,2026-01-30,control
375,2026-01-03,control
376,2026-03-15,control
377,2026-03-09,treatment
378,2026-01-31,control
379,2026-02-26,control
380,2026-01-21,treatment
381,2026-03-02,treatment
382,2026-02-09,treatment
383,2026-01-19,treatment
384,2026-01-09,control
385,2026-01-02,control
386,2026-03-15,treatment
387,2026-01-07,treatment
388,2026-02-14,treatment
389,2026-01-12,control
390,2026-03-03,treatment
391,2026-02-05,treatment
392,2026-03-13,control
393,2026-01-09,treatment
394,2026-02-06,treatment
395,2026-02-06,control
396,2026-02-10,control
397,2026-01-26,treatment
398,2026-01-23,control
399,2026-03-27,control
400,2026-03-06,control
401,2026-02-11,control
402,2026-03-16,treatment
403,2026-01-07,treatment
404,2026-02-21,control
405,2026-03-03,treatment
406,2026-01-04,treatment
407,2026-03-05,control
408,2026-03-06,treatment
409,2026-02-17,control
410,2026-03-02,treatment
411,2026-03-27,treatment
412,2026-01-31,treatment
413,2026-01-20,control
414,2026-02-06,treatment
415,2026-03-27,control
416,2026-02-14,control
417,2026-03-25,control
418,2026-03-13,treatment
419,2026-01-11,control
420,2026-03-03,treatment
421,2026-03-21,treatment
422,2026-02-16,control
423,2026-01-28,control
424,2026-03-14,control
425,2026-01-06,treatment
426,2026-03-19,treatment
427,2026-01-08,control
428,2026-01-05,treatment
429,2026-02-16,control
430,2026-01-07,treatment
431,2026-03-06,treatment
432,2026-02-12,treatment
433,2026-03-08,treatment
434,2026-03-12,treatment
435,2026-03-13,control
436,2026-01-10,control
437,2026-03-18,control
438,2026-03-19,treatment
439,2026-02-15,treatment
440,2026-01-13,treatment
441,2026-03-07,treatment
442,2026-03-04,control
443,2026-01-13,treatment
444,2026-03-14,control
445,2026-03-03,control
446,2026-01-05,treatment
447,2026-02-24,treatment
448,2026-03-18,treatment
449,2026-03-27,control
450,2026-03-17,treatment
451,2026-03-19,control
452,2026-01-14,treatment
453,2026-01-03,treatment
454,2026-01-19,control
455,2026-03-21,control
456,2026-03-19,control
457,2026-01-08,treatment
458,2026-03-28,control
459,2026-01-20,treatment
460,2026-02-13,treatment
461,2026-02-24,treatment
462,2026-01-12,control
463,2026-02-04,treatment
464,2026-01-26,control
465,2026-02-02,treatment
466,2026-01-31,treatment
467,2026-02-10,treatment
468,2026-02-26,treatment
469,2026-01-11,control
470,2026-03-06,treatment
471,2026-01-11,control
472,2026-02-24,control
473,2026-01-18,control
474,2026-03-22,control
475,2026-01-30,control
476,2026-01-01,control
477,2026-01-10,control
478,2026-02-05,treatment
479,2026-03-28,treatment
480,2026-01-27,control
481,2026-02-14,control
482,2026-03-09,control
483,2026-01-21,treatment
484,2026-03-03,control
485,2026-02-07,control
486,2026-03-22,control
487,2026-03-03,control
488,2026-01-29,control
489,2026-02-10,treatment
490,2026-03-18,treatment
491,2026-02-03,treatment
492,2026-02-18,treatment
493,2026-03-19,treatment
494,2026-01-14,control
495,2026-03-17,treatment
496,2026-03-16,treatment
497,2026-02-18,control
498,2026-01-22,treatment
499,2026-01-13,control
500,2026-03-10,treatment
501,2026-02-03,treatment
502,2026-02-18,treatment
503,2026-01-09,treatment
504,2026-02-16,treatment
505,2026-01-07,treatment
506,2026-02-18,treatment
507,2026-03-17,control
508,2026-03-29,treatment
509,2026-03-18,control
510,2026-02-22,control
511,2026-03-08,control
512,2026-01-04,treatment
513,2026-03-03,control
514,2026-03-28,control
515,2026-01-14,control
516,2026-01-26,control
517,2026-03-31,control
518,2026-02-12,treatment
519,2026-03-07,control
520,2026-03-16,treatment
521,2026-03-28,treatment
522,2026-01-08,control
523,2026-02-02,control
524,2026-01-21,treatment
525,2026-03-15,control
526,2026-03-20,control
527,2026-03-20,treatment
528,2026-01-11,treatment
529,2026-03-02,treatment
530,2026-02-16,control
531,2026-03-07,treatment
532,2026-01-17,treatment
533,2026-01-12,control
534,2026-02-01,treatment
535,2026-02-01,control
536,2026-03-13,control
537,2026-01-18,treatment
538,2026-03-28,control
539,2026-01-02,control
540,2026-02-21,treatment
541,2026-02-17,treatment
542,2026-02-02,treatment
543,2026-01-11,treatment
544,2026-01-08,treatment
545,2026-01-25,control
546,2026-02-06,control
547,2026-01-18,control
548,2026-03-15,control
549,2026-03-29,treatment
550,2026-03-10,control
551,2026-03-16,control
552,2026-02-02,control
553,2026-03-19,control
554,2026-01-16,treatment
555,2026-02-24,control
556,2026-02-18,control
557,2026-02-13,control
558,2026-03-16,control
559,2026-01-31,treatment
560,2026-02-20,control
561,2026-02-11,control
562,2026-02-18,control
563,2026-01-31,treatment
564,2026-03-05,treatment
565,2026-02-23,treatment
566,2026-01-12,treatment
567,2026-02-09,treatment
568,2026-02-25,control
569,2026-01-09,control
570,2026-01-08,treatment
571,2026-02-18,control
572,2026-01-15,treatment
573,2026-02-21,control
574,2026-01-05,treatment
575,2026-03-18,treatment
576,2026-02-25,treatment
577,2026-02-27,treatment
578,2026-03-28,treatment
579,2026-02-26,treatment
580,2026-01-14,control
581,2026-03-22,control
582,2026-02-12,treatment
583,2026-03-02,control
584,2026-03-22,control
585,2026-02-12,treatment
586,2026-03-18,treatment
587,2026-03-27,control
588,2026-02-08,control
589,2026-01-03,control
590,2026-03-09,control
591,2026-03-14,treatment
592,2026-01-04,control
593,2026-03-27,control
594,2026-03-10,treatment
595,2026-01-18,control
596,2026-03-07,control
597,2026-03-03,treatment
598,2026-02-22,treatment
599,2026-02-21,treatment
600,2026-01-11,treatment
601,2026-03-26,control
602,2026-01-27,treatment
603,2026-01-26,treatment
604,2026-01-16,treatment
605,2026-01-19,treatment
606,2026-01-06,treatment
607,2026-03-16,treatment
608,2026-03-22,control
609,2026-01-05,treatment
610,2026-01-17,control
611,2026-02-09,treatment
612,2026-01-19,treatment
613,2026-01-18,treatment
614,2026-03-05,treatment
615,2026-03-21,control
616,2026-01-29,treatment
617,2026-02-16,treatment
618,2026-02-06,control
619,2026-02-03,control
620,2026-01-06,control
621,2026-03-05,treatment
622,2026-03-25,control
623,2026-03-10,treatment
624,2026-03-31,control
625,2026-03-15,treatment
626,2026-02-03,control
627,2026-03-15,treatment
628,2026-01-20,control
629,2026-02-05,treatment
630,2026-03-05,treatment
631,2026-01-26,treatment
632,2026-03-10,treatment
633,2026-01-17,control
634,2026-01-14,control
635,2026-03-09,control
636,2026-02-13,control
637,2026-03-26,treatment
638,2026-01-18,treatment
639,2026-03-06,treatment
640,2026-01-22,treatment
641,2026-02-12,treatment
642,2026-02-14,treatment
643,2026-03-18,control
644,2026-02-05,control
645,2026-02-02,treatment
646,2026-02-12,treatment
647,2026-03-30,control
648,2026-02-04,treatment
649,2026-02-19,treatment
650,2026-01-07,control
651,2026-02-24,control
652,2026-01-07,treatment
653,2026-01-02,treatment
654,2026-01-24,control
655,2026-01-18,treatment
656,2026-02-17,control
657,2026-01-19,treatment
658,2026-01-20,control
659,2026-03-21,treatment
660,2026-02-26,control
661,2026-01-01,control
662,2026-03-10,treatment
663,2026-03-07,control
664,2026-03-22,control
665,2026-02-18,control
666,2026-03-26,treatment
667,2026-03-26,treatment
668,2026-02-02,treatment
669,2026-01-08,control
670,2026-03-26,control
671,2026-02-28,control
672,2026-03-20,treatment
673,2026-01-07,treatment
674,2026-01-29,treatment
675,2026-01-01,treatment
676,2026-02-03,control
677,2026-03-09,treatment
678,2026-01-16,control
679,2026-02-03,control
680,2026-03-20,control
681,2026-01-28,control
682,2026-02-17,control
683,2026-02-09,control
684,2026-01-19,control
685,2026-03-25,treatment
686,2026-03-14,control
687,2026-02-05,control
688,2026-03-18,treatment
689,2026-02-14,treatment
690,2026-02-27,treatment
691,2026-01-27,control
692,2026-02-05,treatment
693,2026-03-25,control
694,2026-01-20,control
695,2026-02-07,treatment
696,2026-03-10,treatment
697,2026-01-30,treatment
698,2026-03-11,treatment
699,2026-02-05,treatment
700,2026-02-15,control
701,2026-03-31,control
702,2026-03-08,control
703,2026-03-24,control
704,2026-01-18,treatment
705,2026-03-17,control
706,2026-02-17,treatment
707,2026-03-10,treatment
708,2026-01-30,treatment
709,2026-03-07,control
710,2026-03-31,control
711,2026-02-14,treatment
712,2026-02-08,treatment
713,2026-02-17,treatment
714,2026-01-19,treatment
715,2026-02-20,treatment
716,2026-01-18,control
717,2026-03-04,treatment
718,2026-03-31,control
719,2026-03-10,treatment
720,2026-03-31,treatment
721,2026-02-09,treatment
722,2026-03-13,control
723,2026-02-20,control
724,2026-02-13,treatment
725,2026-02-26,control
726,2026-03-01,control
727,2026-01-05,control
728,2026-03-05,control
729,2026-02-17,control
730,2026-01-12,treatment
731,2026-01-17,control
732,2026-01-13,control
733,2026-03-16,control
734,2026-02-05,control
735,2026-02-08,control
736,2026-02-03,treatment
737,2026-03-07,control
738,2026-02-12,control
739,2026-03-31,control
740,2026-01-28,control
741,2026-03-27,control
742,2026-02-25,control
743,2026-02-27,treatment
744,2026-03-09,control
745,2026-03-20,treatment
746,2026-03-20,control
747,2026-03-22,control
748,2026-02-06,control
749,2026-03-12,treatment
750,2026-01-27,treatment
751,2026-02-14,control
752,2026-01-14,control
753,2026-02-08,control
754,2026-02-20,control
755,2026-03-17,treatment
756,2026-01-04,control
757,2026-02-23,control
758,2026-03-19,treatment
759,2026-03-11,control
760,2026-02-12,control
761,2026-02-06,treatment
762,2026-02-24,control
763,2026-03-05,control
764,2026-02-06,control
765,2026-02-19,treatment
766,2026-01-01,control
767,2026-01-29,control
768,2026-03-12,control
769,2026-02-07,control
770,2026-02-12,treatment
771,2026-03-26,control
772,2026-02-06,treatment
773,2026-02-09,treatment
774,2026-03-10,treatment
775,2026-03-18,control
776,2026-02-01,treatment
777,2026-01-16,treatment
778,2026-02-28,control
779,2026-01-10,treatment
780,2026-03-07,treatment
781,2026-02-13,control
782,2026-03-30,treatment
783,2026-01-28,control
784,2026-03-11,treatment
785,2026-01-01,treatment
786,2026-01-03,control
787,2026-02-10,treatment
788,2026-02-26,control
789,2026-01-16,treatment
790,2026-02-25,treatment
791,2026-03-01,control
792,2026-01-12,control
793,2026-03-19,control
794,2026-03-09,control
795,2026-01-30,control
796,2026-02-03,control
797,2026-01-25,control
798,2026-02-26,control
799,2026-03-03,treatment
800,2026-01-25,treatment
801,2026-02-19,treatment
802,2026-01-16,control
803,2026-02-07,treatment
804,2026-02-05,treatment
805,2026-02-04,control
806,2026-01-19,control
807,2026-01-03,treatment
808,2026-03-30,control
809,2026-02-06,treatment
810,2026-03-07,treatment
811,2026-03-19,control
812,2026-01-04,control
813,2026-02-05,treatment
814,2026-02-04,treatment
815,2026-02-27,control
816,2026-03-24,treatment
817,2026-03-02,treatment
818,2026-02-23,treatment
819,2026-01-21,treatment
820,2026-02-13,control
821,2026-03-08,control
822,2026-02-18,treatment
823,2026-02-24,control
824,2026-01-28,treatment
825,2026-02-12,treatment
826,2026-02-04,control
827,2026-02-14,treatment
828,2026-01-18,control
829,2026-02-28,treatment
830,2026-03-05,control
831,2026-03-10,treatment
832,2026-01-22,treatment
833,2026-02-07,control
834,2026-02-08,treatment
835,2026-03-21,treatment
836,2026-03-25,treatment
837,2026-02-13,treatment
838,2026-02-06,treatment
839,2026-01-02,control
840,2026-01-31,treatment
841,2026-01-07,control
842,2026-02-08,treatment
843,2026-02-04,treatment
844,2026-01-23,control
845,2026-03-29,control
846,2026-03-07,treatment
847,2026-02-27,control
848,2026-03-03,treatment
849,2026-02-01,control
850,2026-01-23,treatment
851,2026-03-18,control
852,2026-02-07,control
853,2026-03-06,treatment
854,2026-02-17,treatment
855,2026-01-02,control
856,2026-03-20,control
857,2026-01-02,treatment
858,2026-01-31,treatment
859,2026-03-09,control
860,2026-02-22,treatment
861,2026-03-16,treatment
862,2026-03-26,treatment
863,2026-03-05,treatment
864,2026-01-24,treatment
865,2026-01-01,control
866,2026-03-07,treatment
867,2026-01-29,treatment
868,2026-02-28,treatment
869,2026-02-15,control
870,2026-01-14,control
871,2026-02-02,treatment
872,2026-03-30,control
873,2026-01-29,treatment
874,2026-03-12,control
875,2026-03-04,treatment
876,2026-02-08,treatment
877,2026-03-10,control
878,2026-02-20,control
879,2026-02-26,treatment
880,2026-02-02,treatment
881,2026-03-26,control
882,2026-01-24,treatment
883,2026-02-18,treatment
884,2026-03-22,control
885,2026-03-05,control
886,2026-02-22,control
887,2026-01-08,control
888,2026-02-03,control
889,2026-02-10,control
890,2026-03-18,treatment
891,2026-03-18,control
892,2026-02-09,treatment
893,2026-02-01,control
894,2026-01-17,control
895,2026-02-13,treatment
896,2026-01-14,treatment
897,2026-01-15,control
898,2026-03-26,control
899,2026-02-18,control
900,2026-02-04,treatment
901,2026-02-07,control
902,2026-02-05,control
903,2026-03-17,control
904,2026-02-18,control
905,2026-02-28,treatment
906,2026-02-21,treatment
907,2026-02-20,control
908,2026-02-08,control
909,2026-03-11,control
910,2026-03-26,control
911,2026-02-01,treatment
912,2026-01-30,treatment
913,2026-03-10,treatment
914,2026-01-11,treatment
915,2026-02-10,treatment
916,2026-03-31,treatment
917,2026-03-04,control
918,2026-01-20,control
919,2026-02-06,control
920,2026-03-27,treatment
921,2026-02-17,control
922,2026-03-18,treatment
923,2026-03-15,treatment
924,2026-03-11,treatment
925,2026-02-28,control
926,2026-01-12,control
927,2026-01-27,control
928,2026-01-04,treatment
929,2026-02-09,treatment
930,2026-01-16,treatment
931,2026-02-24,control
932,2026-02-06,control
933,2026-03-26,control
934,2026-03-13,treatment
935,2026-01-21,treatment
936,2026-02-05,control
937,2026-02-07,treatment
938,2026-01-03,control
939,2026-03-07,treatment
940,2026-01-07,control
941,2026-03-15,control
942,2026-02-11,treatment
943,2026-02-10,control
944,2026-01-03,control
945,2026-02-26,control
946,2026-03-10,control
947,2026-02-07,treatment
948,2026-01-23,treatment
949,2026-03-31,treatment
950,2026-02-13,control
951,2026-03-01,treatment
952,2026-03-13,control
953,2026-02-23,control
954,2026-02-19,control
955,2026-03-03,treatment
956,2026-03-21,treatment
957,2026-03-03,treatment
958,2026-03-18,treatment
959,2026-01-26,control
960,2026-01-16,treatment
961,2026-01-10,treatment
962,2026-01-03,control
963,2026-02-10,control
964,2026-03-19,control
965,2026-01-06,treatment
966,2026-03-01,control
967,2026-03-14,treatment
968,2026-03-24,control
969,2026-03-14,treatment
970,2026-01-08,control
971,2026-01-14,control
972,2026-03-30,control
973,2026-01-09,control
974,2026-03-30,treatment
975,2026-03-26,control
976,2026-01-25,treatment
977,2026-03-14,control
978,2026-01-06,control
979,2026-01-12,treatment
980,2026-02-03,control
981,2026-01-21,treatment
982,2026-02-09,treatment
983,2026-01-25,treatment
984,2026-01-25,control
985,2026-02-01,control
986,2026-01-05,treatment
987,2026-03-04,control
988,2026-03-20,control
989,2026-02-06,control
990,2026-01-20,treatment
991,2026-03-23,treatment
992,2026-03-20,treatment
993,2026-02-11,treatment
994,2026-01-24,control
995,2026-03-09,treatment
996,2026-03-18,control
997,2026-01-03,treatment
998,2026-01-26,control
999,2026-03-19,treatment
1000,2026-01-10,control
1001,2026-01-23,control
1002,2026-03-16,control
1003,2026-03-15,control
1004,2026-01-25,control
1005,2026-03-20,treatment
1006,2026-01-28,control
1007,2026-01-19,treatment
1008,2026-02-06,control
1009,2026-02-23,treatment
1010,2026-02-24,control
1011,2026-01-24,treatment
1012,2026-02-27,treatment
1013,2026-01-02,control
1014,2026-01-07,treatment
1015,2026-01-23,control
1016,2026-03-27,control
1017,2026-03-05,treatment
1018,2026-01-05,treatment
1019,2026-01-07,control
1020,2026-03-17,control
1021,2026-02-15,treatment
1022,2026-03-06,treatment
1023,2026-01-28,treatment
1024,2026-01-27,treatment
1025,2026-01-15,treatment
1026,2026-02-23,control
1027,2026-02-21,treatment
1028,2026-02-19,control
1029,2026-03-25,treatment
1030,2026-03-02,control
1031,2026-03-25,treatment
1032,2026-03-08,treatment
1033,2026-01-12,treatment
1034,2026-02-16,treatment
1035,2026-03-29,control
1036,2026-03-06,treatment
1037,2026-01-11,control
1038,2026-01-18,control
1039,2026-01-07,control
1040,2026-03-04,control
1041,2026-02-09,control
1042,2026-02-08,treatment
1043,2026-03-29,treatment
1044,2026-03-26,treatment
1045,2026-01-09,control
1046,2026-03-18,control
1047,2026-03-26,control
1048,2026-01-01,treatment
1049,2026-03-24,treatment
1050,2026-03-10,control
1051,2026-01-26,treatment
1052,2026-02-24,control
1053,2026-01-04,control
1054,2026-03-06,control
1055,2026-02-01,control
1056,2026-01-24,treatment
1057,2026-03-13,treatment
1058,2026-03-13,control
1059,2026-02-01,treatment
1060,2026-01-13,treatment
1061,2026-03-08,treatment
1062,2026-03-22,treatment
1063,2026-03-20,control
1064,2026-02-09,treatment
1065,2026-02-16,control
1066,2026-01-10,treatment
1067,2026-01-30,control
1068,2026-03-05,treatment
1069,2026-03-10,control
1070,2026-02-04,control
1071,2026-03-24,treatment
1072,2026-01-23,treatment
1073,2026-03-05,control
1074,2026-03-02,treatment
1075,2026-02-23,treatment
1076,2026-01-31,control
1077,2026-03-05,treatment
1078,2026-01-20,control
1079,2026-03-16,treatment
1080,2026-02-24,control
1081,2026-02-06,control
1082,2026-02-01,treatment
1083,2026-01-12,treatment
1084,2026-01-05,treatment
1085,2026-01-29,treatment
1086,2026-01-21,treatment
1087,2026-03-03,treatment
1088,2026-02-10,treatment
1089,2026-01-14,control
1090,2026-02-21,control
1091,2026-02-27,control
1092,2026-02-13,treatment
1093,2026-02-28,control
1094,2026-03-24,control
1095,2026-02-23,treatment
1096,2026-01-31,control
1097,2026-02-26,control
1098,2026-03-20,treatment
1099,2026-02-27,treatment
1100,2026-02-13,control
1101,2026-01-11,control
1102,2026-03-03,control
1103,2026-03-12,treatment
1104,2026-02-18,treatment
1105,2026-02-26,control
1106,2026-01-10,treatment
1107,2026-03-29,control
1108,2026-02-08,control
1109,2026-03-21,treatment
1110,2026-03-02,control
1111,2026-03-06,control
1112,2026-01-25,control
1113,2026-01-24,treatment
1114,2026-01-30,treatment
1115,2026-01-25,treatment
1116,2026-03-05,control
1117,2026-01-14,control
1118,2026-03-08,treatment
1119,2026-01-14,control
1120,2026-02-18,treatment
1121,2026-01-27,treatment
1122,2026-03-08,control
1123,2026-01-26,treatment
1124,2026-03-17,control
1125,2026-03-20,control
1126,2026-02-15,treatment
1127,2026-01-03,treatment
1128,2026-03-04,treatment
1129,2026-03-03,treatment
1130,2026-01-02,treatment
1131,2026-02-20,treatment
1132,2026-01-03,treatment
1133,2026-01-23,control
1134,2026-02-24,treatment
1135,2026-02-11,treatment
1136,2026-02-27,control
1137,2026-02-07,control
1138,2026-01-27,control
1139,2026-01-07,control
1140,2026-02-25,treatment
1141,2026-02-18,control
1142,2026-01-10,treatment
1143,2026-01-11,treatment
1144,2026-03-11,treatment
1145,2026-03-16,control
1146,2026-02-01,control
1147,2026-03-30,treatment
1148,2026-02-21,treatment
1149,2026-02-19,control
1150,2026-03-30,treatment
1151,2026-02-25,control
